Iterations	Guesses
0	3158.0
1 	 87.8195
2 	 6.8600
3 	 6.8600
4 	 6.7707
5 	 4.9924
6 	 4.9924
7 	 4.9924
8 	 3.9892
9 	 3.9892
10 	 3.9892
11 	 3.9892
12 	 3.9892
13 	 3.9892
14 	 3.9892
15 	 3.9892
16 	 3.9892
17 	 3.9892
18 	 3.9892
19 	 3.9892
20 	 3.9892
21 	 3.9892
22 	 3.9892
23 	 3.9892
24 	 3.9892
25 	 3.9892
26 	 3.7099
27 	 3.7099
28 	 3.7099
29 	 3.7099
30 	 3.7099
31 	 3.7099
32 	 3.7099
33 	 3.7099
34 	 3.7099
35 	 3.7099
36 	 3.7099
37 	 3.7099
38 	 3.7099
39 	 3.7099
40 	 3.7099
41 	 3.7099
42 	 3.7099
43 	 3.7099
44 	 3.7099
45 	 3.7099
46 	 3.7099
47 	 3.7099
48 	 3.7099
49 	 3.7099
50 	 3.7099
51 	 3.7099
52 	 3.7099
53 	 3.7099
54 	 3.7099
55 	 3.7099
56 	 3.7099
57 	 3.7099
58 	 3.7099
59 	 3.7099
60 	 3.7099
61 	 3.7099
62 	 3.7099
63 	 3.7099
64 	 3.7099
65 	 3.7099
66 	 3.7099
67 	 3.7099
68 	 3.7099
69 	 3.7099
70 	 3.7099
71 	 3.7099
72 	 3.7099
73 	 3.7099
74 	 3.7099
75 	 3.7099
76 	 3.7099
77 	 3.7099
78 	 3.7099
79 	 3.7099
80 	 3.7099
81 	 3.7011
82 	 3.7011
83 	 3.7011
84 	 3.7011
85 	 3.7011
86 	 3.7011
87 	 3.7011
88 	 3.7011
89 	 3.7011
90 	 3.7011
91 	 3.7011
92 	 3.7011
93 	 3.7011
94 	 3.7011
95 	 3.7011
96 	 3.7011
97 	 3.7011
98 	 3.7011
99 	 3.7011
100 	 3.7011
101 	 3.7011
102 	 3.7011
103 	 3.7011
104 	 3.7011
105 	 3.7011
106 	 3.7011
107 	 3.7011
108 	 3.7011
109 	 3.7011
110 	 3.7011
111 	 3.7011
112 	 3.7011
113 	 3.7011
114 	 3.7011
115 	 3.7011
116 	 3.7011
117 	 3.7011
118 	 3.6159
119 	 3.6159
120 	 3.6134
121 	 3.6134
122 	 3.6134
123 	 3.6134
124 	 3.6134
125 	 3.5963
126 	 3.5963
127 	 3.5963
128 	 3.5963
129 	 3.5963
130 	 3.5963
131 	 3.5681
132 	 3.5681
133 	 3.5681
134 	 3.5681
135 	 3.5681
136 	 3.5681
137 	 3.5681
138 	 3.5681
139 	 3.5681
140 	 3.5681
141 	 3.5681
142 	 3.5681
143 	 3.5681
144 	 3.5681
145 	 3.5681
146 	 3.5681
147 	 3.5624
148 	 3.5624
149 	 3.5624
150 	 3.5624
151 	 3.5621
152 	 3.5621
153 	 3.5621
154 	 3.5621
155 	 3.5611
156 	 3.5611
157 	 3.5611
158 	 3.5611
159 	 3.5611
160 	 3.5611
161 	 3.5611
162 	 3.5611
163 	 3.5611
164 	 3.5611
165 	 3.5611
166 	 3.5608
167 	 3.5608
168 	 3.5608
169 	 3.5608
170 	 3.5608
171 	 3.5602
172 	 3.5602
173 	 3.5602
174 	 3.5602
175 	 3.5602
176 	 3.5602
177 	 3.5602
178 	 3.5602
