Iterations	Guesses
0	3158.0
1 	 101.0741
2 	 93.7296
3 	 6.6742
4 	 6.6742
5 	 6.6742
6 	 4.7619
7 	 4.7619
8 	 4.7619
9 	 4.7619
10 	 4.6957
11 	 4.6957
12 	 4.6957
13 	 4.4275
14 	 4.1840
15 	 4.1840
16 	 4.1840
17 	 4.1840
18 	 4.1840
19 	 4.1840
20 	 4.1840
21 	 4.1840
22 	 4.1840
23 	 4.1840
24 	 4.1840
25 	 4.1840
26 	 4.1840
27 	 4.1840
28 	 4.1840
29 	 4.1840
30 	 4.1840
31 	 4.1840
32 	 3.9769
33 	 3.9769
34 	 3.9712
35 	 3.9712
36 	 3.9712
37 	 3.9712
38 	 3.6681
39 	 3.6681
40 	 3.6681
41 	 3.6681
42 	 3.6681
43 	 3.6681
44 	 3.6681
45 	 3.6681
46 	 3.6681
47 	 3.6681
48 	 3.6681
49 	 3.6681
50 	 3.6681
51 	 3.6681
52 	 3.6681
53 	 3.6681
54 	 3.6681
55 	 3.6681
56 	 3.6681
57 	 3.6681
58 	 3.6681
59 	 3.6681
60 	 3.6681
61 	 3.6681
62 	 3.6681
63 	 3.6681
64 	 3.6681
65 	 3.6681
66 	 3.6681
67 	 3.6681
68 	 3.6681
69 	 3.6681
70 	 3.6681
71 	 3.6681
72 	 3.6681
73 	 3.6681
74 	 3.6681
75 	 3.6681
76 	 3.6681
77 	 3.6681
78 	 3.6681
79 	 3.6681
80 	 3.6681
81 	 3.6681
82 	 3.6681
83 	 3.6681
84 	 3.6681
85 	 3.6681
86 	 3.6681
87 	 3.6681
88 	 3.6681
89 	 3.6681
90 	 3.6681
91 	 3.6681
92 	 3.6681
93 	 3.6681
94 	 3.6681
95 	 3.6681
96 	 3.6681
97 	 3.6681
98 	 3.6681
99 	 3.6681
100 	 3.6681
101 	 3.6681
102 	 3.6681
103 	 3.6681
104 	 3.6681
105 	 3.6681
106 	 3.6681
107 	 3.6681
108 	 3.6681
109 	 3.6681
110 	 3.6681
111 	 3.6681
112 	 3.6681
113 	 3.5807
114 	 3.5807
115 	 3.5807
116 	 3.5807
117 	 3.5716
118 	 3.5716
119 	 3.5716
120 	 3.5709
121 	 3.5709
122 	 3.5709
123 	 3.5709
124 	 3.5709
125 	 3.5709
126 	 3.5709
127 	 3.5709
128 	 3.5709
129 	 3.5709
130 	 3.5709
131 	 3.5709
132 	 3.5709
133 	 3.5709
134 	 3.5709
135 	 3.5617
136 	 3.5617
137 	 3.5617
138 	 3.5592
139 	 3.5592
140 	 3.5592
141 	 3.5592
142 	 3.5592
143 	 3.5592
144 	 3.5592
145 	 3.5592
146 	 3.5592
147 	 3.5592
148 	 3.5592
149 	 3.5592
150 	 3.5592
151 	 3.5592
152 	 3.5592
153 	 3.5592
154 	 3.5592
155 	 3.5592
156 	 3.5592
157 	 3.5592
158 	 3.5589
159 	 3.5589
160 	 3.5589
161 	 3.5589
162 	 3.5589
163 	 3.5589
164 	 3.5589
165 	 3.5589
166 	 3.5589
167 	 3.5589
168 	 3.5589
169 	 3.5589
170 	 3.5589
171 	 3.5589
172 	 3.5589
173 	 3.5589
174 	 3.5589
175 	 3.5589
176 	 3.5589
177 	 3.5589
178 	 3.5589
179 	 3.5589
180 	 3.5589
181 	 3.5589
182 	 3.5589
183 	 3.5589
184 	 3.5589
185 	 3.5589
186 	 3.5589
187 	 3.5589
188 	 3.5589
189 	 3.5589
190 	 3.5589
191 	 3.5589
192 	 3.5589
193 	 3.5589
194 	 3.5589
195 	 3.5589
196 	 3.5589
197 	 3.5589
198 	 3.5589
199 	 3.5589
200 	 3.5589
201 	 3.5589
202 	 3.5589
203 	 3.5589
204 	 3.5589
205 	 3.5589
206 	 3.5589
207 	 3.5589
208 	 3.5589
209 	 3.5589
210 	 3.5589
211 	 3.5589
212 	 3.5589
213 	 3.5589
214 	 3.5589
215 	 3.5589
216 	 3.5589
217 	 3.5589
218 	 3.5589
219 	 3.5589
220 	 3.5589
221 	 3.5589
222 	 3.5589
223 	 3.5589
224 	 3.5589
225 	 3.5589
226 	 3.5589
227 	 3.5589
228 	 3.5589
229 	 3.5589
230 	 3.5589
231 	 3.5589
232 	 3.5589
233 	 3.5589
234 	 3.5589
235 	 3.5589
236 	 3.5589
237 	 3.5589
238 	 3.5589
239 	 3.5589
240 	 3.5589
241 	 3.5589
242 	 3.5589
243 	 3.5589
244 	 3.5589
245 	 3.5589
246 	 3.5589
247 	 3.5589
248 	 3.5589
249 	 3.5589
250 	 3.5589
251 	 3.5589
252 	 3.5589
253 	 3.5589
254 	 3.5589
255 	 3.5589
256 	 3.5589
257 	 3.5589
258 	 3.5589
259 	 3.5589
260 	 3.5589
261 	 3.5589
262 	 3.5589
263 	 3.5589
264 	 3.5589
265 	 3.5589
266 	 3.5589
267 	 3.5589
268 	 3.5589
269 	 3.5589
270 	 3.5589
271 	 3.5589
272 	 3.5589
273 	 3.5589
274 	 3.5589
275 	 3.5589
276 	 3.5589
277 	 3.5589
278 	 3.5589
279 	 3.5589
280 	 3.5589
281 	 3.5589
282 	 3.5589
283 	 3.5589
284 	 3.5589
285 	 3.5589
286 	 3.5589
287 	 3.5589
288 	 3.5589
289 	 3.5589
290 	 3.5589
291 	 3.5589
292 	 3.5589
293 	 3.5589
294 	 3.5589
295 	 3.5589
296 	 3.5589
297 	 3.5589
298 	 3.5589
299 	 3.5589
300 	 3.5589
301 	 3.5589
302 	 3.5589
303 	 3.5589
304 	 3.5589
305 	 3.5589
306 	 3.5589
307 	 3.5589
308 	 3.5589
309 	 3.5589
310 	 3.5589
311 	 3.5589
312 	 3.5589
313 	 3.5589
314 	 3.5589
315 	 3.5589
316 	 3.5589
317 	 3.5589
318 	 3.5589
319 	 3.5589
320 	 3.5589
321 	 3.5589
322 	 3.5589
323 	 3.5589
324 	 3.5589
325 	 3.5589
326 	 3.5589
327 	 3.5589
328 	 3.5589
329 	 3.5589
330 	 3.5589
331 	 3.5589
332 	 3.5589
333 	 3.5589
334 	 3.5589
335 	 3.5589
336 	 3.5589
337 	 3.5589
338 	 3.5589
339 	 3.5589
340 	 3.5589
341 	 3.5589
342 	 3.5589
343 	 3.5589
344 	 3.5589
345 	 3.5589
346 	 3.5589
347 	 3.5589
348 	 3.5589
349 	 3.5589
350 	 3.5589
351 	 3.5589
352 	 3.5589
353 	 3.5589
354 	 3.5589
355 	 3.5589
356 	 3.5589
357 	 3.5589
358 	 3.5589
359 	 3.5589
360 	 3.5589
361 	 3.5589
362 	 3.5589
363 	 3.5589
364 	 3.5589
365 	 3.5589
366 	 3.5589
367 	 3.5589
368 	 3.5589
369 	 3.5589
370 	 3.5589
371 	 3.5589
372 	 3.5589
373 	 3.5589
374 	 3.5589
375 	 3.5589
376 	 3.5589
377 	 3.5589
378 	 3.5589
379 	 3.5589
380 	 3.5589
381 	 3.5589
382 	 3.5589
383 	 3.5589
384 	 3.5589
385 	 3.5589
386 	 3.5589
387 	 3.5589
388 	 3.5589
389 	 3.5589
390 	 3.5589
391 	 3.5589
