Iterations	Guesses
0	3158.0
1 	 101.0741
2 	 93.7296
3 	 93.7296
4 	 91.1491
5 	 87.8195
6 	 87.8195
7 	 87.8195
8 	 6.6742
9 	 6.6742
10 	 6.6742
11 	 6.6742
12 	 6.6742
13 	 6.6742
14 	 6.6742
15 	 6.6742
16 	 6.6742
17 	 6.6742
18 	 6.6742
19 	 6.6742
20 	 6.6742
21 	 6.6742
22 	 6.6742
23 	 6.6742
24 	 6.6742
25 	 6.6742
26 	 6.6742
27 	 6.6742
28 	 6.6742
29 	 6.6742
30 	 6.6742
31 	 6.6742
32 	 6.6742
33 	 6.6742
34 	 6.6742
35 	 6.6742
36 	 6.6742
37 	 6.6742
38 	 6.6742
39 	 6.6742
40 	 6.6742
41 	 6.6742
42 	 6.6742
43 	 6.6742
44 	 6.6742
45 	 6.6742
46 	 6.6742
47 	 6.6742
48 	 6.6742
49 	 6.6742
50 	 6.6742
51 	 6.6742
52 	 6.6742
53 	 6.6742
54 	 6.6742
55 	 6.6742
56 	 6.6742
57 	 6.6742
58 	 6.6742
59 	 6.6742
60 	 6.6742
61 	 6.6742
62 	 6.6742
63 	 6.6742
64 	 6.6742
65 	 6.6742
66 	 6.6742
67 	 6.6742
68 	 6.6742
69 	 6.6742
70 	 6.6742
71 	 6.6742
72 	 6.6742
73 	 6.6742
74 	 6.6742
75 	 6.6742
76 	 6.6742
77 	 6.6742
78 	 6.0355
79 	 5.7970
80 	 5.7970
81 	 5.7970
82 	 5.7970
83 	 5.7970
84 	 5.7970
85 	 5.7970
86 	 5.7970
87 	 5.7970
88 	 5.7970
89 	 5.7970
90 	 5.7970
91 	 5.7970
92 	 5.7970
93 	 5.7970
94 	 5.7970
95 	 5.7970
96 	 5.7970
97 	 5.7970
98 	 5.7970
99 	 5.7970
100 	 5.7970
101 	 5.7970
102 	 5.7970
103 	 5.7970
104 	 5.7970
105 	 5.7970
106 	 5.7970
107 	 5.7970
108 	 5.7970
109 	 5.7970
110 	 5.7970
111 	 5.7970
112 	 5.7970
113 	 5.7970
114 	 5.7970
115 	 5.7970
116 	 5.7970
117 	 5.7970
118 	 5.7970
119 	 5.7970
120 	 5.7970
121 	 5.7970
122 	 5.7970
123 	 5.7970
124 	 5.7574
125 	 5.7574
126 	 5.7574
127 	 5.4072
128 	 5.4072
129 	 5.4072
130 	 5.4072
131 	 5.4072
132 	 5.4072
133 	 5.4072
134 	 5.4072
135 	 5.4072
136 	 5.4072
137 	 5.4072
138 	 5.4072
139 	 5.4072
140 	 5.4072
141 	 5.4072
142 	 5.4072
143 	 5.4072
144 	 5.4072
145 	 5.4072
146 	 5.4072
147 	 5.4072
148 	 5.4072
149 	 5.4072
150 	 5.4072
151 	 5.4072
152 	 5.4072
153 	 5.4072
154 	 5.4072
155 	 5.4072
156 	 5.4072
157 	 5.4072
158 	 5.4072
159 	 5.4072
160 	 5.4072
161 	 5.4072
162 	 5.4072
163 	 5.4072
164 	 5.4072
165 	 5.4072
166 	 5.4072
167 	 5.4072
168 	 5.4072
169 	 5.4072
170 	 5.4072
171 	 5.4072
172 	 5.4072
173 	 5.4072
174 	 5.4072
175 	 5.4072
176 	 5.4072
177 	 5.4072
178 	 5.4072
179 	 5.4072
180 	 5.4072
181 	 5.4072
182 	 5.4072
183 	 5.4072
184 	 5.4072
185 	 5.4072
186 	 5.4072
187 	 5.4072
188 	 5.4072
189 	 5.4072
190 	 5.4072
191 	 5.4072
192 	 5.4072
193 	 5.4072
194 	 5.4072
195 	 5.4072
196 	 5.4072
197 	 5.4072
198 	 5.4072
199 	 5.4072
200 	 5.4072
201 	 5.4072
202 	 5.4072
203 	 5.4072
204 	 5.4072
205 	 4.6232
206 	 4.6232
207 	 4.6232
208 	 4.6232
209 	 4.6232
210 	 4.6232
211 	 4.6232
212 	 4.6232
213 	 4.6232
214 	 4.6232
215 	 4.6232
216 	 4.6232
217 	 4.6232
218 	 4.6232
219 	 4.6232
220 	 4.6232
221 	 4.6232
222 	 4.6232
223 	 4.6232
224 	 4.6232
225 	 4.6232
226 	 4.6232
227 	 4.6232
228 	 4.6232
229 	 4.6232
230 	 4.6232
231 	 4.6232
232 	 4.6232
233 	 4.6232
234 	 4.6232
235 	 4.6232
236 	 4.6232
237 	 4.6232
238 	 4.6232
239 	 4.6232
240 	 4.6232
241 	 4.6232
242 	 4.6232
243 	 4.6232
244 	 4.6232
245 	 4.6232
246 	 4.6232
247 	 4.6232
248 	 4.6232
249 	 4.6232
250 	 4.6232
251 	 4.6232
252 	 4.6232
253 	 4.6232
254 	 4.6232
255 	 4.6232
256 	 4.6232
257 	 4.6232
258 	 4.6232
259 	 4.6232
260 	 4.6232
261 	 4.6232
262 	 4.6232
263 	 4.6232
264 	 4.6232
265 	 4.6232
266 	 4.6232
267 	 4.6232
268 	 4.6232
269 	 4.6232
270 	 4.6232
271 	 4.6232
272 	 4.6232
273 	 4.6232
274 	 4.6232
275 	 4.6232
276 	 4.6232
277 	 4.6232
278 	 4.6232
279 	 4.6232
280 	 4.6232
281 	 4.6232
282 	 4.6232
283 	 4.6232
284 	 4.6232
285 	 4.6232
286 	 4.6232
287 	 4.6232
288 	 4.6232
289 	 4.6232
290 	 4.6232
291 	 4.6232
292 	 4.6232
293 	 4.6232
294 	 4.6232
295 	 4.6232
296 	 4.6232
297 	 4.6232
298 	 4.6232
299 	 4.6232
300 	 4.6232
301 	 4.6232
302 	 4.6232
303 	 4.6232
304 	 4.6232
305 	 4.6232
306 	 4.6232
307 	 4.6232
308 	 4.6232
309 	 4.6232
310 	 4.6232
311 	 4.6232
312 	 4.6232
313 	 4.6232
314 	 4.6232
315 	 4.6232
316 	 4.6232
317 	 4.6232
318 	 4.6232
319 	 4.6232
320 	 4.6232
321 	 4.6232
322 	 4.6232
323 	 4.6232
324 	 4.6232
325 	 4.6232
326 	 4.6232
327 	 4.6232
328 	 4.6232
329 	 4.6232
330 	 4.6232
331 	 4.6232
332 	 4.6232
333 	 4.6232
334 	 4.6232
335 	 4.6232
336 	 4.6232
337 	 4.6232
338 	 4.6232
339 	 4.6232
340 	 4.6232
341 	 4.6232
342 	 4.6232
343 	 4.6232
344 	 4.6232
345 	 4.6232
346 	 4.6232
347 	 4.6232
348 	 4.6232
349 	 4.6232
350 	 4.6232
351 	 4.6232
352 	 4.6232
353 	 4.6232
354 	 4.6232
355 	 4.6232
356 	 4.6232
357 	 4.6232
358 	 4.6232
359 	 4.6232
360 	 4.6232
361 	 4.6232
362 	 4.6232
363 	 4.6232
364 	 4.6232
365 	 4.6232
366 	 4.6232
367 	 4.6232
368 	 4.6232
369 	 4.6232
370 	 4.6232
371 	 4.6232
372 	 4.6232
373 	 4.6232
374 	 4.6232
375 	 4.6232
376 	 3.9911
377 	 3.9911
378 	 3.9911
379 	 3.9911
380 	 3.9911
381 	 3.9911
382 	 3.9911
383 	 3.9911
384 	 3.9911
385 	 3.9911
386 	 3.9911
387 	 3.9911
388 	 3.9911
389 	 3.9911
390 	 3.9911
391 	 3.9911
