Iterations	Guesses
0	3158.0
1 	 101.0741
2 	 93.7296
3 	 93.7296
4 	 91.1491
5 	 87.8195
6 	 87.8195
7 	 87.8195
8 	 87.8195
9 	 87.8195
10 	 87.8195
11 	 87.8195
12 	 87.8195
13 	 87.8195
14 	 87.8195
15 	 87.8195
16 	 87.8195
17 	 87.8195
18 	 87.8195
19 	 87.8195
20 	 87.8195
21 	 87.8195
22 	 6.7283
23 	 6.6742
24 	 6.6742
25 	 6.6742
26 	 6.6742
27 	 6.6742
28 	 6.6742
29 	 6.6742
30 	 6.6742
31 	 6.6742
32 	 6.6742
33 	 6.6742
34 	 6.6742
35 	 6.6742
36 	 6.6742
37 	 6.6742
38 	 6.6742
39 	 6.6742
40 	 6.6742
41 	 6.6742
42 	 6.6742
43 	 6.6742
44 	 6.6742
45 	 6.6742
46 	 6.6742
47 	 6.6742
48 	 6.6742
49 	 6.6742
50 	 6.6742
51 	 6.6742
52 	 6.6742
53 	 6.6742
54 	 6.6742
55 	 6.6742
56 	 6.6742
57 	 6.6742
58 	 6.6742
59 	 6.6742
60 	 6.6742
61 	 6.6742
62 	 6.6742
63 	 6.6742
64 	 6.6742
65 	 6.6742
66 	 6.6742
67 	 6.6742
68 	 6.6742
69 	 6.6742
70 	 6.6742
71 	 6.6742
72 	 6.6742
73 	 6.6742
74 	 6.6742
75 	 6.6742
76 	 6.6742
77 	 6.6742
78 	 6.6742
79 	 6.6742
80 	 6.6742
81 	 6.6742
82 	 6.6742
83 	 6.6742
84 	 6.6742
85 	 6.6742
86 	 6.6742
87 	 6.6742
88 	 6.6742
89 	 6.6742
90 	 6.6742
91 	 6.6742
92 	 6.6742
93 	 6.6742
94 	 6.6742
95 	 6.6742
96 	 6.6742
97 	 6.6742
98 	 6.6742
99 	 6.6742
100 	 6.6742
101 	 6.6742
102 	 6.6742
103 	 6.6742
104 	 6.6742
105 	 6.6742
106 	 6.6742
107 	 6.6742
108 	 6.6742
109 	 6.6742
110 	 6.6742
111 	 6.6742
112 	 6.6742
113 	 6.6742
114 	 6.6742
115 	 6.6742
116 	 6.6742
117 	 6.6742
118 	 6.6742
119 	 6.6742
120 	 6.6742
121 	 6.6742
122 	 6.6742
123 	 6.6742
124 	 6.6742
125 	 6.6742
126 	 6.6742
127 	 6.6742
128 	 6.6742
129 	 6.6742
130 	 6.6742
131 	 6.6742
132 	 6.6742
133 	 6.6130
134 	 6.6130
135 	 6.6130
136 	 6.6130
137 	 6.6130
138 	 6.6130
139 	 6.6130
140 	 6.6130
141 	 6.6130
142 	 6.6130
143 	 6.6130
144 	 6.6130
145 	 6.6130
146 	 6.6130
147 	 6.6130
148 	 6.5953
149 	 6.5953
150 	 6.5953
151 	 6.5953
152 	 6.5953
153 	 6.5953
154 	 6.5953
155 	 6.5953
156 	 6.5953
157 	 6.5953
158 	 6.5953
159 	 6.5953
160 	 6.5953
161 	 6.5953
162 	 6.5953
163 	 6.5953
164 	 6.5953
165 	 6.5953
166 	 6.5953
167 	 6.5953
168 	 6.5953
169 	 6.5953
170 	 6.5953
171 	 6.5953
172 	 6.5953
173 	 6.5953
174 	 6.5953
175 	 6.5953
176 	 6.5953
177 	 6.5953
178 	 6.5953
179 	 6.5953
180 	 6.5953
181 	 6.5953
182 	 6.5953
183 	 6.5953
184 	 6.5953
185 	 6.5953
186 	 6.5953
187 	 6.5953
188 	 6.5953
189 	 6.5953
190 	 6.5953
191 	 6.5953
192 	 6.5953
193 	 6.5953
194 	 6.5288
195 	 6.5288
196 	 6.5288
197 	 6.5288
198 	 6.5288
199 	 6.5288
200 	 6.5288
201 	 6.5288
202 	 6.5288
203 	 6.5288
204 	 6.5288
205 	 6.5288
206 	 6.5288
207 	 6.5288
208 	 6.5288
209 	 6.5288
210 	 6.5288
211 	 6.4503
212 	 5.9446
213 	 5.9446
214 	 5.9446
215 	 5.9446
216 	 5.9446
217 	 5.9446
218 	 5.9446
219 	 5.9446
220 	 5.9446
221 	 5.9446
222 	 5.9446
223 	 5.9446
224 	 5.9446
225 	 5.9446
226 	 5.9446
227 	 5.9446
228 	 5.9446
229 	 5.9446
230 	 5.9446
231 	 5.9446
232 	 5.9446
233 	 5.9446
234 	 5.9446
235 	 5.9446
236 	 5.9446
237 	 5.9446
238 	 5.9446
239 	 5.9446
240 	 5.9446
241 	 5.9446
242 	 5.9446
243 	 5.9446
244 	 5.9446
245 	 5.9446
246 	 5.9446
247 	 5.9446
248 	 5.9446
249 	 5.9446
250 	 5.9446
251 	 5.9446
252 	 5.9446
253 	 5.9446
254 	 5.9446
255 	 5.9446
256 	 5.9446
257 	 5.9446
258 	 5.9446
259 	 5.9446
260 	 5.9446
261 	 5.9446
262 	 5.9446
263 	 5.9446
264 	 5.9446
265 	 5.9446
266 	 5.8505
267 	 5.8505
268 	 5.8505
269 	 5.8505
270 	 5.8505
271 	 5.8505
272 	 5.8505
273 	 5.8505
274 	 5.8505
275 	 5.8505
276 	 5.8505
277 	 5.8505
278 	 5.8505
279 	 5.4275
280 	 4.8933
281 	 4.8626
282 	 4.8626
283 	 4.7951
284 	 3.8562
285 	 3.8562
286 	 3.8562
287 	 3.8562
288 	 3.8562
289 	 3.8562
290 	 3.8562
291 	 3.8562
292 	 3.8562
293 	 3.7283
294 	 3.7283
295 	 3.7283
296 	 3.7283
297 	 3.7185
298 	 3.7185
299 	 3.7185
300 	 3.6748
301 	 3.6748
302 	 3.6605
303 	 3.6605
304 	 3.6605
305 	 3.6605
306 	 3.6605
307 	 3.6605
308 	 3.6605
309 	 3.6605
310 	 3.6605
311 	 3.6605
312 	 3.6605
313 	 3.6605
314 	 3.6605
315 	 3.6605
316 	 3.6605
317 	 3.6605
318 	 3.6605
319 	 3.6605
320 	 3.6605
321 	 3.6355
322 	 3.6355
323 	 3.6355
324 	 3.6355
325 	 3.6355
326 	 3.6349
327 	 3.6343
328 	 3.6343
329 	 3.6343
330 	 3.6343
331 	 3.6343
332 	 3.6343
333 	 3.6343
334 	 3.6343
335 	 3.6343
336 	 3.6343
337 	 3.6343
338 	 3.6343
339 	 3.6343
340 	 3.6343
341 	 3.6343
342 	 3.6343
343 	 3.6343
344 	 3.6343
345 	 3.6343
346 	 3.6343
347 	 3.6343
348 	 3.6343
349 	 3.6343
350 	 3.6343
351 	 3.6343
352 	 3.6343
353 	 3.6343
354 	 3.6343
355 	 3.6343
356 	 3.6343
357 	 3.6343
358 	 3.6343
359 	 3.6343
360 	 3.6343
361 	 3.6343
362 	 3.6343
363 	 3.6343
364 	 3.6343
365 	 3.6343
366 	 3.6343
367 	 3.6343
368 	 3.6343
369 	 3.6343
370 	 3.6343
371 	 3.6343
372 	 3.6343
373 	 3.6343
374 	 3.6343
375 	 3.6343
376 	 3.6343
377 	 3.6343
378 	 3.6343
379 	 3.6343
380 	 3.6343
381 	 3.6343
382 	 3.6343
383 	 3.6343
384 	 3.6343
385 	 3.6343
386 	 3.6343
387 	 3.6343
388 	 3.6343
389 	 3.6343
390 	 3.6343
391 	 3.6343
